method,backbone,pretrained,trainable_params_M,total_params_M,gflops,fps_rtx5090_bs1,batch_size,augmentation,mIoU,IoU_background,IoU_inclusion,IoU_patch,IoU_scratch,pixel_acc,seed,budget,notes
UNet-BN,UNet (base=64),none (scratch),31.04,31.04,,,16,Official SegNeXt augmentation,0.8290,0.9706,0.6997,0.8542,0.7916,0.9737,42,40k iters,Baseline (from scratch; BN + padded convs vs original 2015 UNet); best @ epoch 200
"DeepLabV3+ (ResNet-50, SMP)",ResNet-50,ImageNet-1K,26.68,26.68,,,16,Official SegNeXt augmentation,0.8264,0.9709,0.7117,0.8525,0.7705,0.9738,42,40k iters,SMP implementation; atrous rates 12/24/36 (SMP default); best @ epoch 170
SegNeXt-T (MSCAN-T),MSCAN-T,ImageNet-1K,4.23,4.23,,,16,Official SegNeXt augmentation,0.7825,0.9642,0.6660,0.8553,0.6445,,42,40k iters,Official recipe reproduction; PA to fill from re-eval
Ours (FastSAM + MSSA),FastSAM-x (frozen),SA-1B,1.93,69.93,,,1,Custom (flip/rot90/photometric),0.7897,0.9636,0.6278,0.8412,0.7262,,42,40k iters,Proposed. 68M frozen + 1.93M trainable; PA to fill from re-eval
Ours (no augmentation),FastSAM-x (frozen),SA-1B,1.93,69.93,,,1,none,0.7546,0.9575,0.5657,0.8064,0.6888,,42,40k iters,Ablation reference. 68M frozen + 1.93M trainable
